,CB1,CB2,CB3,CB4,CB5,CB6,CB7,CB8,CB9,CB10,CB11,CB12,CB13,CB14,CB15,CB16,CB17,CB18,CB19,CB20,CB21,CB22,CB23,CB24,CB25,CB26,MB1,MB2,MB3,MB4,MB5,MB6,MB7,MB8,MB9,MB10,MB11,MB12,MB13,MB14,MB15,MB16,MB17,MB18,MB19,MB20,MB21,MB22,MB23,MB24,MB25,MB26,MB27,MB28,MB29,MB30,MB31,MB32,MB33,MB34,KR1,KR2,KR3,KR4,KR5,KR6,KR7,KR8,KR9,KR10,KR11,KR12,KR13,KR14,KR15,KR16,KR17,KR18,KR19,KR20,KR21,KR22,KR23,KR24,KR25,KR26,KR27,KR28,KR29,KR30,KR31,KR32,KR33,KR34,KR35,KR36,KR37,LR1,LR2,LR3,LR4,LR5,LR6,LR7,LR8,LR9,LR10,LR11,LR12,LR13,LR14,LR15,LR16,LR17,LR18,LR19,LR20,LR21,LR22,LR23,LR24,LR25,LR26,LR27,LR28,LR29,LR30,LR31,LR32,LR33,LR34,LR35,LR36,LR37,LR38,LR39,LR40,LR41,LR42,LR43
Ameiurus_melas,0,0,1,2,0,0,0,0,0,0,0,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,5,3,0,0,0,0,0,0,0,0,1,2,2,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ameiurus_natalis,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
Aphredoderus_sayanus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,14,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
Campostoma_plumbeum,115,12,20,0,20,10,0,54,107,63,37,20,45,1,2,7,0,4,1,1,0,0,0,1,5,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Campostoma_spadiceum,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,3,0,15,0,0,15,0,8,0,123,51,0,0,3,0,68,0,0,0,24,2,0,0,0,0,0,37,22,15,4,9,5,20,1,0,21,1,3,0,2,19,4,17,12,0,9,0,0,1,32,1,0,0,22,1,0,11,9,100,23,1,0,0,1,95,3,0,67,1,0,7,1,2,1,2,1,7,2,1,7,0,5,3,1,5,0,5,4,5,2,6,33,5,3,1,0,0,0,0,48,36,17,2,4,1,0,0,7,0,2,1
Cyprinella_lutrensis,0,0,0,0,138,173,37,0,0,0,0,0,1,0,0,2,0,0,67,0,23,3,75,114,189,417,0,0,0,0,0,29,4,30,26,0,9,5,0,0,48,6,0,0,19,132,0,1,3,49,3,19,12,0,2,0,0,13,3,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cyprinella_venusta,3,2,0,0,62,82,31,113,151,0,65,0,1,0,0,0,0,29,18,2,94,24,185,165,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,14,0,75,0
Cyprinella_whipplei,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,37,0,0,19,0,0,0,144,0,0,0,6,32,0,0,0,0,0,0,0,0,78,0,0,31,8,26,18,1,0,0,0,2,0,1,0,2,20,155,138,41,0,0,0,4,0,0,0,0,0,0,0,0,7,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,20,0,0,0,0,0,0,0,0,0,9,0,3,143,7,0,7,0,0,0,0,0,0,59,3,121,48,0,0,28,0,53,13
Dorosoma_cepedianum,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4,4,2,0,0,0,0,0,0,1,0,0,0,0,1,0,0,8,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
Erimyzon_claviformis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,65,0,0,0,0,0,0,0,0,0,1,0,0,0,4,0,1,1,0,0,3,0,0,1,0,0,0,0,10,1,0,1,0,0,0,2,0,0,0,3,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Esox_americanus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,4,0,0,0,0,0,3,2,0,0,0,6,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,1,0,2,2,0,0,0,0,0,1,0,4,0,0,0,0,1,0,0,0,0,0,2,1,0,1,13,2,1,1,0,0,0,0,0,0,0,1,1,0,0
Etheostoma_chlorosoma,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,21,0,0,0,0,0,0,0,0,0,0,22,1,0,0,0,1,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Etheostoma_gracile,0,1,1,2,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,4,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,22,0,0,0,0,0,43,0,0,0,0,46,25,0,2,0,0,0,0,0,0,0,0,2,10,5,1,0,0,0,1,0,0,3,1,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Etheostoma_nigrum,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,2,0,0,0,0,0,0,0,2,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Etheostoma_radiosum,4,1,27,0,14,3,3,17,5,2,33,6,1,0,0,9,1,4,0,0,0,0,1,2,56,11,1,1,0,6,0,0,0,0,1,0,14,0,11,44,0,0,0,0,2,0,0,0,26,5,2,0,0,0,0,21,1,2,3,1,2,0,0,0,1,0,5,0,9,7,11,6,5,0,1,0,0,0,4,0,0,1,2,0,0,3,0,21,0,0,0,0,1,26,1,0,3,6,2,8,3,3,2,9,1,1,9,2,8,0,8,0,0,6,0,0,0,1,0,4,2,1,0,2,0,0,0,0,6,3,1,1,0,0,0,0,2,0,3,0
Etheostoma_pulchellum,1,0,0,0,0,0,0,11,0,16,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,4,1,0,1,24,0,0,0,1,0,3,0,0,0,0,0,0,8,0,13,0
Fundulus_notatus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,9,0,0,0,2,0,0,0,0,1,1,0,2,0,0,1,2,15,15,0,0,0,3,0,0,6,1,0,0,0,0,0,0,0,4,0,2,0,0,1,1,1,16,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,11,4,3,0,2,2,0,0,0,9,0,0,0,0,0,0,0,0,0,1,0,2,0,5,0,0,0,0,5,0
Fundulus_olivaceus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,0,0,0,0,6,4,15,0,10,0,0,0,9,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,3,9,0,0,7,6,4,0,1,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,10,3,2,0,0,2,2,0,0,0,0,1,0,0,14,2,0,0,0
Gambusia_affinis,33,3,39,0,13,7,29,11,0,6,12,47,16,31,31,76,11,11,9,177,0,2,16,8,10,32,17,2,1,18,1,82,0,0,19,4,0,13,2,22,0,17,4,0,0,2,0,488,32,8,8,33,27,109,4,186,9,22,7,17,17,57,2,40,28,33,49,6,0,41,3,1,0,3,0,1,11,2,21,6,0,0,21,0,6,11,11,6,14,0,0,0,0,41,46,2,14,3,0,0,0,0,0,0,0,3,0,1,1,4,8,0,0,0,0,0,0,0,0,17,0,0,8,2,0,0,2,1,29,2,0,0,0,5,3,0,1,0,1,0
Ictalurus_punctatus,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Labidesthes_sicculus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,0,0,0,0,0,10,1,2,2,0,3,12,1,64,0,0,1,1,2,0,0,0,1,0,1,7,3,0,0,2,7,0,0,2,6,0,0,0,20,0,12,0,2,114,0,0,15,5,17,0,0,1,89,69,0,15,1,0,0,0,19,2,0,5,7,8,0,10,26,0,3,0,1,8,18,19,0,0,0,47,4,2,0,2,4,4,6,0,0,3,9,12,16,0,0,0,18,0,9,5,7,6,6,6,5,2,0,14,2,2,0,0,0,0,0,26,35,0,0,12,0,0,8,0
Lepomis_cyanellus,0,0,5,2,0,0,1,0,0,2,0,4,4,1,7,19,0,0,1,17,0,0,0,0,0,0,2,0,0,1,2,0,0,0,0,0,0,1,2,6,0,0,0,2,0,1,0,4,0,0,0,0,0,1,0,0,1,7,2,0,1,2,2,6,5,0,5,8,0,7,0,0,0,0,0,1,0,0,0,0,0,0,3,0,9,4,5,0,0,0,2,0,1,2,2,1,26,5,6,5,1,4,5,3,1,27,0,0,2,0,12,3,0,2,0,3,1,0,3,11,5,0,11,0,0,0,1,2,0,5,1,4,0,5,0,0,0,0,4,0
Lepomis_gulosus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0,0,0,0,0,0,1,0,0,0,0,0
Lepomis_humilis,5,4,3,2,0,0,2,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,1,4,0,0,8,0,2,0,23,4,0,11,4,1,0,0,1,0,0,0,0,1,0,0,10,3,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lepomis_macrochirus,0,0,0,1,3,0,4,4,1,46,3,9,3,28,4,2,1,3,1,51,0,0,0,0,1,1,20,0,1,3,3,3,1,1,0,3,9,26,0,18,0,0,8,24,3,1,4,5,0,0,2,0,0,0,4,8,71,41,15,0,0,3,13,1,1,0,29,23,0,3,0,0,1,5,22,10,2,1,6,0,1,0,0,0,0,14,3,0,16,0,1,3,0,2,122,0,25,0,0,0,0,1,4,0,0,75,2,0,3,6,33,0,2,0,0,4,0,0,1,11,1,1,35,3,2,10,4,17,0,5,0,4,4,3,1,3,6,4,3,1
Lepomis_megalotis,44,0,8,7,8,4,10,12,38,0,10,11,7,10,0,2,0,0,5,14,4,2,2,16,25,20,20,2,6,16,1,10,1,2,0,1,4,30,2,18,4,9,1,2,4,19,8,11,11,1,25,12,4,2,22,0,5,86,25,28,1,0,0,1,8,6,4,12,11,3,5,13,0,14,10,4,5,32,2,0,0,0,0,5,24,14,6,0,23,0,2,0,3,1,1,2,84,9,2,14,0,3,9,0,3,0,18,17,4,3,82,9,17,0,4,15,10,11,10,51,104,3,10,9,0,3,2,2,0,29,13,19,13,109,0,2,6,10,32,9
Lepomis_microlophus,0,0,0,0,0,0,0,3,1,1,0,9,5,1,0,0,0,9,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,1,0,0,0,1,3,0,0,3,0,0,13,0,0,0,0,12,2,0,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,8,0,0,2,1,0,0,0,2,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,9,0,0,4,7,1,0,0,0,2,0,0,15,0,0,0,0,1,0,0,0
