"","Ameiurus_melas","Ameiurus_natalis","Aphredoderus_sayanus","Campostoma_anomalum","Campostoma_spadiceum","Cyprinella_lutrensis","Cyprinella_venusta","Cyprinella_whipplei","Dorosoma_cepedianum","Erimyzon_oblongus","Esox_americanus","Etheostoma_chlorosoma","Etheostoma_gracile","Etheostoma_nigrum","Etheostoma_radiosum","Etheostoma_spectabile","Fundulus_notatus","Fundulus_olivaceus","Gambusia_affinis","Ictalurus_punctatus","Labidesthes_sicculus","Lepomis_cyanellus","Lepomis_gulosus","Lepomis_humilis","Lepomis_macrochirus","Lepomis_megalotis","Lepomis_microlophus","Luxilus_chrysocephalus","Lythrurus_snelsoni","Lythrurus_umbratilis","Micropterus_punctulatus","Micropterus_salmoides","Minytrema_melanops","Moxostoma_duquesnei","Moxostoma_erythrurum","Notemigonus_crysoleucas","Notropis_atherinoides","Notropis_atrocaudalis","Notropis_boops","Notropis_buchanani","Notropis_ortenburgeri","Notropis_stramineus","Notropis_suttkusi","Notropis_volucellus","Noturus_exilis","Noturus_gyrinus","Noturus_nocturnus","Percina_caprodes","Percina_copelandi","Percina_phoxocephala","Percina_sciera","Phenacobius_mirabilis","Pimephales_notatus","Pimephales_promelas","Pimephales_vigilax","Pomoxis_annularis","Pomoxis_nigromaculatus","Semotilus_atromaculatus"
"Gambusia_affinis",0.290188658443587,0.265491379884701,0.181969830714085,0.380887919681629,0.380136717758552,0.216969008353254,0.292507970158216,0.354919217559542,0.288466946358279,0.169633462853662,0.246157783102673,0.212325797224927,0.231404280083481,0.187773394417089,0.311074933583817,0.299340467334573,0.119390100289806,0.175271567449307,0,0.35572942864922,0.162891086473855,0.203628934857774,0.19916186793945,0.12582256813373,0.242043478696636,0.221414614934678,0.143515924597479,0.281034315051662,0.272223714701576,0.205054776405822,0.262437274707022,0.136989748718833,0.244309360391468,0.306135581523394,0.236825804723877,0.252979841235689,0.264865271626395,0.194851667881881,0.257834825600378,0.253187104286169,0.253615909037158,0.30871785131572,0.327118729219255,0.249462170248088,0.320532231857732,0.316979514093988,0.292212735048824,0.336157367055151,0.282483928812466,0.37987635817524,0.309774753529698,0.26324062227442,0.250095278127408,0.258028906001237,0.329562337835203,0.210887900573727,0.189962476767676,0.273882299506915
"Ictalurus_punctatus",0.223521729794367,0.170082255191004,0.292065342823159,0.288980606417025,0.32819334680164,0.29260657414212,0.258627947736355,0.231579441858909,0.262064440785982,0.271295576311624,0.347156845157063,0.374172862193524,0.394042772713743,0.331082427306331,0.390808341219249,0.328540860048824,0.313262405282491,0.335033143737281,0.35572942864922,0,0.347658205855988,0.267485109176061,0.348875253017462,0.345291475900105,0.305993642260276,0.249699429099157,0.329238658991587,0.232436106781589,0.275813406255336,0.271414671717594,0.28559984624989,0.297610176522402,0.227291538559602,0.208795405061561,0.243476183766965,0.35097637412493,0.214123823746406,0.318369558069563,0.328663833818073,0.256388478209205,0.258880802961624,0.259448759204961,0.278300358262343,0.238804856983484,0.346112899362359,0.269519145324462,0.409670539754242,0.322375053790546,0.273829725737435,0.368618083372174,0.315185444350291,0.328184270548277,0.238416330247419,0.323573515813555,0.219935347873413,0.301973375770661,0.322534235231106,0.256494217011541
"Labidesthes_sicculus",0.319605264277424,0.217984908795461,0.213938386967171,0.371842987053928,0.409553323592389,0.254890361022534,0.336823259407145,0.385796388145083,0.317883552192116,0.161317658917175,0.237659696993382,0.258257596941236,0.278127507461455,0.180471250250926,0.351816152890038,0.368961400091487,0.197347140030203,0.257579416946531,0.162891086473855,0.347658205855988,0,0.197991986650715,0.19990710314979,0.19516127718081,0.275414915469527,0.252474067693023,0.222397912970069,0.271989382423961,0.275282756387663,0.235823545701198,0.261781936766833,0.167500047589491,0.237391822236233,0.297090648895693,0.266242410557714,0.243934908607987,0.294281877460232,0.31783890820189,0.328862312641615,0.294319366803071,0.373734768478567,0.378068351380326,0.396919950437708,0.280501372235772,0.349948837691569,0.308908291300756,0.332817774501954,0.365573972888988,0.313703419261688,0.410314598624462,0.353116332944157,0.292957708877488,0.241651307038169,0.288346954142766,0.296327774928818,0.201842967946026,0.180917544139974,0.341760443802291
"Lepomis_cyanellus",0.16348280050889,0.217531420601116,0.142399123617886,0.410732542516163,0.449945282900779,0.217429157273751,0.298835146252602,0.350657136967171,0.315607242269736,0.200054837875582,0.199473799028713,0.183610829940539,0.203480740460759,0.1836035941747,0.354092462812418,0.333632205553722,0.161161911491045,0.221394188407373,0.203628934857774,0.267485109176061,0.197991986650715,0,0.0813901438414007,0.15777055635288,0.195359494622676,0.138007893438188,0.180804030584757,0.275077579884009,0.277559066310044,0.200494351163433,0.066828755452602,0.129314149624822,0.314103684738944,0.334369570471672,0.263966100635334,0.280420617916376,0.335875759845545,0.243192141201193,0.293408520162946,0.258134138263912,0.337549539939409,0.304277618381023,0.361590755899943,0.245172177698007,0.352480220076882,0.158314464580728,0.219108507501258,0.328742374505069,0.239912686262385,0.336523865625159,0.316931104404999,0.257628514339723,0.283245189423481,0.214556221143463,0.298604084851198,0.122643581100569,0.0632566188329788,0.224399999264526
"Lepomis_gulosus",0.167949867427214,0.258637204252943,0.103300751236173,0.453661147896025,0.492873888280641,0.296082761153823,0.371291156257355,0.429495330389322,0.281612770726521,0.27816390260652,0.162380530547839,0.217605301483754,0.199013673542435,0.226532199554562,0.388086934355632,0.376560810933585,0.23580530756944,0.293850198412126,0.19916186793945,0.348875253017462,0.19990710314979,0.0813901438414007,0,0.162237623271204,0.119804687680263,0.216663804687536,0.138849135039364,0.355009466342981,0.350561922833207,0.281884495004834,0.102283791747521,0.130135573087076,0.352839800144326,0.376204482814714,0.345356244476735,0.207964607911623,0.378804365225407,0.315648151205947,0.372975842276312,0.332595252169504,0.373366833210658,0.385667762222423,0.404519361279805,0.326562321539408,0.395408825456744,0.161687838462231,0.214641440582934,0.371670979884931,0.321302830103786,0.379452471005021,0.350925575948213,0.339018658181124,0.364635333264881,0.180561749600248,0.333327685085626,0.0886491095573543,0.0292621472897641,0.305790143105927
"Lepomis_humilis",0.241289167232934,0.257969941900442,0.139568414147981,0.408911505394053,0.408160303470976,0.216545867472785,0.299153779528558,0.348126908266497,0.278028993609164,0.240493359174908,0.162989243404962,0.221189078601111,0.241058989121331,0.179679191667974,0.314747634549913,0.291428546758262,0.160278621690079,0.182049360144868,0.12582256813373,0.345291475900105,0.19516127718081,0.15777055635288,0.162237623271204,0,0.199283897129402,0.176343049352898,0.184728433091483,0.311609851183334,0.276675776509077,0.196569948656707,0.224112456888247,0.0928295940010706,0.277619129115193,0.33634655330946,0.2648493904363,0.242541888486573,0.29348981887728,0.242308851400227,0.252603127148738,0.257250848462946,0.298204711676904,0.300353215874297,0.357666353393217,0.241247775191281,0.310094279108617,0.2324068320339,0.295148294623368,0.325719414306036,0.236717412446873,0.332599463118433,0.316047814604032,0.292165650294536,0.279320786916755,0.287554895559814,0.374643871973308,0.161988409363074,0.141792114248236,0.2634443467578
"Lepomis_macrochirus",0.163529795131566,0.215755593495757,0.14235212899521,0.375322806369608,0.414535546754224,0.296128061302187,0.298788151629926,0.389618527324444,0.200269621507797,0.313890054791368,0.158982092867575,0.298948450702479,0.28035682276116,0.263578473412761,0.39250700665128,0.336684007868706,0.314961070714523,0.259808732246236,0.242043478696636,0.305993642260276,0.275414915469527,0.195359494622676,0.119804687680263,0.199283897129402,0,0.138325463161119,0.139290689808235,0.315132663278103,0.354435148610445,0.280469230401494,0.217623106983772,0.164723885771377,0.349513420885499,0.333322872057527,0.340936172181087,0.0911647279236676,0.30046602369899,0.320068223501594,0.333099039211433,0.296548682102775,0.337502545316733,0.307329420696006,0.364642558214927,0.286685518474529,0.393993560853404,0.160272573858891,0.334446128263197,0.331794176820053,0.319887565500445,0.339575667940142,0.355345648243861,0.414526470500861,0.363220068661541,0.256069561919985,0.298557090228522,0.199613652646322,0.140226690378732,0.265913340041048
"Lepomis_megalotis",0.222620197355063,0.197922918796176,0.19669892248739,0.313920420131566,0.353133160516182,0.236673094733084,0.162774672483352,0.251293064163325,0.259360023731293,0.217996463668163,0.178953886359756,0.278319586940521,0.29818949746074,0.202176087174719,0.294955065966246,0.236820083169126,0.17894759156795,0.200718330022739,0.221414614934678,0.249699429099157,0.252474067693023,0.138007893438188,0.216663804687536,0.176343049352898,0.138325463161119,0,0.200693076046277,0.215268738578522,0.218421669463871,0.219066844163452,0.201615561381503,0.108794236955865,0.332045310531526,0.277028658896408,0.24618042055843,0.223872918608702,0.239063637460948,0.260977821278098,0.272183507890626,0.237458279879278,0.278412143093236,0.245927034457964,0.303240171976885,0.225283132236487,0.294129636153823,0.175793264543925,0.352278802962778,0.231930252120472,0.220023640800865,0.2781732817021,0.257793707558826,0.276201007339742,0.263356143961961,0.348513329528097,0.277928226466564,0.258704054869818,0.199317092602228,0.244775376879929
"Lepomis_microlophus",0.186774811862878,0.239000610227068,0.202714637979529,0.399228880793227,0.438441621177843,0.242624203885494,0.275543134898614,0.336601524824986,0.18505309977757,0.183767693196029,0.221349705752733,0.23888243506486,0.258934627757883,0.249023009374841,0.411369171837577,0.399051620753864,0.22080828876265,0.237475126378942,0.143515924597479,0.329238658991587,0.222397912970069,0.180804030584757,0.138849135039364,0.184728433091483,0.139290689808235,0.200693076046277,0,0.262115660778645,0.335564904026417,0.227452227902036,0.197484966587851,0.148960517522739,0.294741667656913,0.3181063503273,0.248796573527783,0.191993879270364,0.247449021199532,0.258361668308744,0.280082036711976,0.240675156439637,0.31990827594233,0.254312418196549,0.350087094177008,0.195206977513533,0.417899635277023,0.261101725205587,0.314117626296742,0.39416178970521,0.305332101462526,0.4019432808253,0.37220270952932,0.284586391078326,0.271741527700545,0.203052559420527,0.318330666278836,0.184397130916095,0.125010168648505,0.289819414464667
"Luxilus_chrysocephalus",0.280332532291633,0.178103031320807,0.368295253568347,0.176776681553044,0.214787498860736,0.295016819640443,0.222694853369567,0.272268943645966,0.317072358667863,0.159652738760804,0.351379392221627,0.299477748595966,0.319347659116185,0.333061194750043,0.354574766083229,0.291755823655842,0.238567291684933,0.298799568601261,0.281034315051662,0.232436106781589,0.271989382423961,0.275077579884009,0.355009466342981,0.311609851183334,0.315132663278103,0.215268738578522,0.262115660778645,0,0.278041369580855,0.23456733635416,0.339961223036948,0.283167162486675,0.238648031583271,0.178947420317886,0.186560720441446,0.356560910799411,0.293025668113195,0.282135982933543,0.330891797143592,0.258616441534724,0.261108766287143,0.261427526648673,0.241817587244517,0.202322085965657,0.350039086475009,0.349034749918665,0.411898503079761,0.324353821234258,0.31244720991465,0.370596850815886,0.355874946137348,0.254213670903381,0.201933559229592,0.325552283257267,0.260624849660471,0.353904218433458,0.332978794627406,0.185155676762946
"Lythrurus_snelsoni",0.364118789895857,0.33942151133697,0.294361500627893,0.262510358826207,0.26175915690313,0.215923482551385,0.17929891648102,0.159618579781042,0.285474000887472,0.243563594305932,0.281626376093405,0.252476042476649,0.272345952996869,0.261703525869359,0.193426501419609,0.142501368017612,0.232268625120848,0.21444810286656,0.272223714701576,0.275813406255336,0.275282756387663,0.277559066310044,0.350561922833207,0.276675776509077,0.354435148610445,0.218421669463871,0.335564904026417,0.278041369580855,0,0.163600292473477,0.298999560734574,0.249381418632641,0.2797779533822,0.187758020667972,0.23383285925307,0.365371511149497,0.184949249232511,0.197514084506534,0.216380341668032,0.174731646643989,0.215112602685143,0.228801828921836,0.208741168363833,0.208007686315743,0.20215467100231,0.313986568623181,0.329139585421983,0.256241344661267,0.125644829495505,0.184575720396741,0.157130451556494,0.221786138342074,0.247102332656601,0.408882114376583,0.252567444944727,0.323279570487536,0.340815685143022,0.309350892497646
"Lythrurus_umbratilis",0.2808495587661,0.297285752290352,0.255506820691738,0.254216784950588,0.291927121489049,0.0651590853602611,0.188031420492958,0.237004549230896,0.202204769757715,0.200451818055568,0.238332317670238,0.185036671488588,0.204906582008807,0.213878473780498,0.240133688975851,0.213406616763557,0.201049291500632,0.146257529955422,0.205054776405822,0.271414671717594,0.235823545701198,0.200494351163433,0.281884495004834,0.196569948656707,0.280469230401494,0.219066844163452,0.227452227902036,0.23456733635416,0.163600292473477,0,0.228374713237262,0.210042191148528,0.2424461371682,0.180920396805505,0.185617182164209,0.278694295599097,0.213656649066727,0.129323511595396,0.178139421959291,0.144175364427346,0.185129227641303,0.142244805679128,0.199557943198048,0.0831393649961121,0.234270055257168,0.274042810388757,0.260949012510845,0.246487206033944,0.156261207865995,0.213769975148191,0.20432449402997,0.176004735839386,0.19888665556774,0.283743360364645,0.261568387937708,0.277498167984847,0.258031001561224,0.184212138485708
"Micropterus_punctulatus",0.181597537582719,0.277242807100756,0.165175584853217,0.400151366128454,0.439364106513069,0.24452039905519,0.319181947640311,0.337524010160212,0.334773662035873,0.261613255454333,0.222272191087959,0.203957631328249,0.223827541848468,0.249945494710067,0.336342290084196,0.361512567627551,0.222704483932346,0.280202528256621,0.262437274707022,0.28559984624989,0.261781936766833,0.066828755452602,0.102283791747521,0.224112456888247,0.217623106983772,0.201615561381503,0.197484966587851,0.339961223036948,0.298999560734574,0.228374713237262,0,0.182244781704119,0.332082422222908,0.355146624124065,0.320542376170701,0.308300979990205,0.363756121919374,0.263538942588903,0.31946606050874,0.319494428532409,0.321804471112025,0.293696441993313,0.351009579512234,0.311514078233374,0.341899043689172,0.185101133617736,0.16253223196589,0.31816119811736,0.267793048336214,0.325942689237449,0.29881636733117,0.247047337952014,0.31112555149731,0.242436583217292,0.320226861448532,0.143913366251321,0.0857283270606538,0.252280361338355
"Micropterus_salmoides",0.277898428955523,0.220448746550483,0.14830132014691,0.381818844039719,0.421031584424334,0.230082716304333,0.270657498575199,0.321625762657651,0.2779796014856,0.20481919490406,0.165478130537686,0.270817797647752,0.290687708167972,0.154689895698256,0.325914815135016,0.304718507077278,0.171445802275181,0.231678079191509,0.136989748718833,0.297610176522402,0.167500047589491,0.129314149624822,0.130135573087076,0.0928295940010706,0.164723885771377,0.108794236955865,0.148960517522739,0.283167162486675,0.249381418632641,0.210042191148528,0.182244781704119,0,0.27729577294275,0.298352563573792,0.220929806005044,0.251506919439932,0.268500522907562,0.291937570446868,0.304054667923414,0.268418029048049,0.309371892262006,0.313825458366117,0.332677057423499,0.254720017683101,0.323566521600437,0.245639108121017,0.344777013670009,0.299828676028625,0.249460526247479,0.346071705610253,0.288753456727597,0.267176354324818,0.254331490947037,0.301027138051634,0.347349514096873,0.164042382624125,0.105857343433458,0.310870916172697
"Minytrema_melanops",0.353571605744427,0.214391154108617,0.334004573494326,0.221915097751699,0.222666299674776,0.222564559110763,0.301054033324758,0.314107605464081,0.31338835519758,0.198761602462194,0.351728230403513,0.262752793935772,0.282622704455992,0.225555380179467,0.317849811423035,0.298660914635413,0.240303875486278,0.262074613941068,0.244309360391468,0.227291538559602,0.237391822236233,0.314103684738944,0.352839800144326,0.277619129115193,0.349513420885499,0.332045310531526,0.294741667656913,0.238648031583271,0.2797779533822,0.2424461371682,0.332082422222908,0.27729577294275,0,0.138749298055003,0.146362598178563,0.360833942382682,0.262442930465696,0.283872566734888,0.296536510729844,0.298814563797607,0.224383811626949,0.307767865924251,0.288157926520095,0.287123963702774,0.279047390697033,0.353505566312062,0.336712009958029,0.293771083586759,0.281864472267152,0.416937190091464,0.319149991477155,0.261118761882952,0.171350821582094,0.294969545609768,0.223899895000277,0.351193924797644,0.330568981760823,0.266351785269293
"Moxostoma_duquesnei",0.295153369033143,0.271413432407924,0.354934981578541,0.12338838367917,0.162601124063785,0.243012727016295,0.20903410061053,0.220447133194622,0.254970118486297,0.177884786634679,0.292207593941656,0.324579015067698,0.305987387126379,0.317875793662926,0.264291417170346,0.239569448858891,0.263668558156666,0.208516219688378,0.306135581523394,0.208795405061561,0.297090648895693,0.334369570471672,0.376204482814714,0.33634655330946,0.333322872057527,0.277028658896408,0.3181063503273,0.178947420317886,0.187758020667972,0.180920396805505,0.355146624124065,0.298352563573792,0.138749298055003,0,0.161459453969713,0.337769740481525,0.239378728564539,0.230314172482199,0.240608448230709,0.206794631083379,0.132363878912721,0.207780587100018,0.149709109234323,0.225598223340079,0.22092963475498,0.335309913583252,0.360076692628417,0.232245343224064,0.258800270365995,0.278975227722926,0.227130058762927,0.240488834567968,0.148286619680937,0.31036688217015,0.170341500747588,0.407186593636506,0.386862131368916,0.281749121829675
"Moxostoma_erythrurum",0.294066967643761,0.240565194069946,0.324086743240562,0.203732270751326,0.242945011135941,0.173702950216777,0.255108939195628,0.26652197177972,0.256051166057906,0.105653880331754,0.298360329313512,0.255269238268181,0.2751391487884,0.202990858923981,0.310366255755444,0.28363918354315,0.194358781357148,0.254591058273476,0.236825804723877,0.243476183766965,0.266242410557714,0.263966100635334,0.345356244476735,0.2648493904363,0.340936172181087,0.24618042055843,0.248796573527783,0.186560720441446,0.23383285925307,0.185617182164209,0.320542376170701,0.220929806005044,0.146362598178563,0.161459453969713,0,0.338269421127196,0.239878409210211,0.276389011067297,0.248221748354269,0.1759463927454,0.17843871749782,0.246741806207227,0.227131866803071,0.187636365524211,0.301273521827137,0.304461675245273,0.367689992751976,0.232745023869735,0.22357264514218,0.359319114795083,0.273204897348025,0.16698656779397,0.148786300326608,0.272405024354283,0.254877877794224,0.333630211842457,0.316094097186971,0.282248802475346
"Notemigonus_crysoleucas",0.20437772125364,0.26182740365868,0.186394625906219,0.372091921554059,0.411304661938675,0.305241602113204,0.309724514168978,0.398060623676147,0.204296548723563,0.315918493766642,0.124490327363784,0.309884813241531,0.291293185300212,0.24933682241217,0.364981830728794,0.3382547585165,0.287435894792037,0.232283556323749,0.252979841235689,0.35097637412493,0.243934908607987,0.280420617916376,0.207964607911623,0.242541888486573,0.0911647279236676,0.223872918608702,0.191993879270364,0.356560910799411,0.365371511149497,0.278694295599097,0.308300979990205,0.251506919439932,0.360833942382682,0.337769740481525,0.338269421127196,0,0.247762834236861,0.331004586040647,0.302837323327619,0.269023506180289,0.348438907855785,0.294061479529885,0.351859164596764,0.272930722391173,0.393986070916418,0.205231096372469,0.345382490802249,0.317552525819462,0.316649758577068,0.33464194459891,0.366282010782913,0.412816142038192,0.349525264179361,0.241827910919394,0.309493452767574,0.241310690661961,0.222572652929551,0.290133227501996
"Notropis_atherinoides",0.298294401644347,0.27882100712631,0.313965152450772,0.309758601944766,0.347468938483228,0.240203955580834,0.208028213790454,0.218539804066854,0.182828613729655,0.255989020311195,0.25686854621603,0.360231782093776,0.380101692613996,0.235806580227807,0.299944184196424,0.27321711198413,0.299321325182744,0.244168986714456,0.264865271626395,0.214123823746406,0.294281877460232,0.335875759845545,0.378804365225407,0.29348981887728,0.30046602369899,0.239063637460948,0.247449021199532,0.293025668113195,0.184949249232511,0.213656649066727,0.363756121919374,0.268500522907562,0.262442930465696,0.239378728564539,0.239878409210211,0.247762834236861,0,0.265966939508277,0.237799676795249,0.16552432118638,0.244939722861876,0.186916651079907,0.245438850099448,0.169249255224461,0.329549385922509,0.332501142147792,0.434791959654495,0.276364154571245,0.21315057358316,0.308065836528078,0.262782825789005,0.270855418582745,0.245539224268218,0.314528673317466,0.282917344696742,0.335227371052668,0.354950871781797,0.303783452888711
